id_tugas,judul,deskripsi,keahlian_terkait,sumber
T_CYBE_4,Buat Ringkasan Alert SOC dari 10 Event,Kelompokkan 10 event keamanan simulasi menjadi alert prioritas rendah/sedang/tinggi dengan alasan singkat.,log analysis,compana_enriched_synthetic
T_CYBE_5,Petakan Alur Investigasi Phishing Sederhana,Buat checklist investigasi phishing dari email mencurigakan sampai rekomendasi containment.,log analysis,compana_enriched_synthetic
T_CYBE_6,Baca Output Nmap Simulasi dan Tentukan Risiko,Analisis output nmap simulasi untuk mengidentifikasi port terbuka dan risiko dasar yang perlu ditindaklanjuti.,networking fundamental,compana_enriched_synthetic
T_CYBE_7,Buat Script Filter Log Sederhana,Buat command atau script kecil untuk memfilter event failed login dan menyimpan hasilnya ke file output.,Linux dasar,compana_enriched_synthetic
T_CYBE_8,Tulis Mini Incident Report dari Temuan Log,"Ubah hasil analisis log menjadi incident report pendek berisi summary, evidence, impact, dan next action.",log analysis,compana_enriched_synthetic
T_AIML_1,Buat Script Python untuk Membersihkan Teks,"Buat script Python kecil yang membersihkan teks user menjadi lowercase, trim spasi, dan menghapus karakter kosong berlebih.",Python dasar,compana_enriched_synthetic
T_AIML_2,Latih Classifier Baseline untuk Problem Category,Buat notebook/script baseline sederhana untuk memprediksi problem category dari teks memakai data kecil.,model training,compana_enriched_synthetic
T_AIML_3,Buat Script Inference Model Sederhana,"Buat script inference yang menerima teks input dan mengembalikan label, confidence, dan top prediction.",model training,compana_enriched_synthetic
T_AIML_4,Catat Error Analysis dari Prediksi Model,"Buat dokumen error analysis berisi prediksi salah, pola penyebab, dan rencana perbaikan dataset/model.",MLOps,compana_enriched_synthetic
T_AIML_5,Buat Format Logging Prediksi Model,"Susun format JSONL untuk logging input, label prediksi, confidence, fallback trigger, dan timestamp.",MLOps,compana_enriched_synthetic
T_AIML_6,Buat Pipeline Preprocessing Reusable,Buat module preprocessing yang bisa dipakai ulang untuk training dan inference agar transformasi teks konsisten.,Python dasar,compana_enriched_synthetic
T_AIML_7,Bandingkan Dua Baseline Model,Bandingkan dua pendekatan model sederhana dan pilih yang paling stabil berdasarkan metric dan error analysis.,model training,compana_enriched_synthetic
T_AIML_8,Buat Checklist Deploy Model Siap Produksi,"Susun checklist deployment model berisi artifact, inference script, env config, logging, dan fallback.",MLOps,compana_enriched_synthetic
T_DATA_1,Bersihkan Dataset Spreadsheet Kecil,"Bersihkan data penjualan sederhana dari duplikasi, kolom kosong, dan format angka/tanggal yang tidak konsisten.",spreadsheet,compana_enriched_synthetic
T_DATA_2,Tulis Insight dari Query SQL Sederhana,Gunakan SQL untuk menjawab 3 pertanyaan bisnis kecil dari tabel transaksi simulasi.,SQL dasar,compana_enriched_synthetic
T_DATA_3,Buat Pivot Summary Penjualan,Buat ringkasan penjualan per kategori atau bulan memakai pivot table dan tulis insight utama.,Excel,compana_enriched_synthetic
T_DATA_4,Buat Ringkasan Data dengan Python,"Gunakan Python untuk membaca dataset kecil, menghitung summary, dan menampilkan insight sederhana.",Python dasar,compana_enriched_synthetic
T_DATA_5,Buat Dashboard Ringkas dari Data Penjualan,"Buat dashboard sederhana berisi KPI total penjualan, kategori teratas, dan tren waktu.",Power BI,compana_enriched_synthetic
T_DATA_6,Visualisasikan Tren dan Outlier Data,Buat visual sederhana untuk menemukan tren dan outlier lalu jelaskan apa yang perlu ditindaklanjuti.,Tableau,compana_enriched_synthetic
T_DATA_7,Ubah Pertanyaan Bisnis menjadi Analisis Data,"Ambil satu masalah bisnis sederhana lalu turunkan menjadi metric, data yang dibutuhkan, dan analisis yang harus dilakukan.",problem solving,compana_enriched_synthetic
T_DATA_8,Rancang Alur ETL Mini untuk Dataset Harian,Buat rancangan ETL sederhana dari source CSV harian ke tabel bersih dan laporan mingguan.,ETL,compana_enriched_synthetic
