pretext_text,target_role,problem_category,current_level,blocker_type
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang bagus?,frontend_developer,frontend_task,advanced,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk frontend_developer?",frontend_developer,frontend_task,advanced,none
Saya bingung harus specialisasi di mana sebagai frontend_developer.,frontend_developer,frontend_task,advanced,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,advanced,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang bagus.,frontend_developer,frontend_task,advanced,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,beginner,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,beginner,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,beginner,none
"Terlalu banyak tools CSS untuk backend_developer, saya pusing.",backend_developer,frontend_task,beginner,none
Saya ragu-ragu apakah bisa jadi backend_developer yang bagus.,backend_developer,frontend_task,beginner,none
Saya takut tidak cukup smart untuk UI/UX di backend_developer.,backend_developer,frontend_task,beginner,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk backend_developer?",backend_developer,frontend_task,beginner,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,beginner,none
Saya sudah beginner tapi masih ada gap signifikan di responsive design.,backend_developer,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,beginner,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,beginner,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,beginner,none
"Terlalu banyak tools CSS untuk backend_developer, saya pusing.",backend_developer,frontend_task,beginner,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,beginner,none
Saya ragu-ragu apakah bisa jadi backend_developer yang bagus.,backend_developer,frontend_task,beginner,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi backend_developer.",backend_developer,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,beginner,none
Saya bingung harus specialisasi di mana sebagai backend_developer.,backend_developer,frontend_task,beginner,none
Apa aja yang perlu saya pelajari untuk menjadi backend_developer yang bagus?,backend_developer,frontend_task,beginner,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk backend_developer?",backend_developer,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,basic,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,basic,none
Saya stuck di awal belajar React sebagai backend_developer.,backend_developer,frontend_task,basic,none
Saya takut tidak cukup smart untuk UI/UX di backend_developer.,backend_developer,frontend_task,basic,none
Saya takut tidak cukup smart untuk UI/UX di backend_developer.,backend_developer,frontend_task,basic,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai backend_developer.,backend_developer,frontend_task,basic,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,basic,none
Saya sudah basic tapi masih ada gap signifikan di responsive design.,backend_developer,frontend_task,basic,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,basic,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi backend_developer.",backend_developer,frontend_task,basic,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai backend_developer.,backend_developer,frontend_task,basic,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,basic,none
"Terlalu banyak tools CSS untuk backend_developer, saya pusing.",backend_developer,frontend_task,basic,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,basic,none
Saya stuck di awal belajar React sebagai backend_developer.,backend_developer,frontend_task,basic,none
Apa aja yang perlu saya pelajari untuk menjadi backend_developer yang bagus?,backend_developer,frontend_task,intermediate,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,intermediate,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk backend_developer.",backend_developer,frontend_task,intermediate,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,intermediate,none
Saya bingung harus specialisasi di mana sebagai backend_developer.,backend_developer,frontend_task,intermediate,none
"Terlalu banyak tools CSS untuk backend_developer, saya pusing.",backend_developer,frontend_task,intermediate,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,intermediate,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,intermediate,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk backend_developer?",backend_developer,frontend_task,intermediate,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,intermediate,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk backend_developer?",backend_developer,frontend_task,intermediate,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,intermediate,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,intermediate,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk backend_developer?",backend_developer,frontend_task,intermediate,none
Saya tidak mengerti JavaScript fundamentals untuk backend_developer.,backend_developer,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,backend_developer,frontend_task,intermediate,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,intermediate,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,advanced,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi backend_developer.",backend_developer,frontend_task,advanced,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi backend_developer.",backend_developer,frontend_task,advanced,none
Saya bingung harus specialisasi di mana sebagai backend_developer.,backend_developer,frontend_task,advanced,none
Bagaimana cara memulai karir sebagai backend_developer? Saya sangat bingung.,backend_developer,frontend_task,advanced,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi backend_developer.",backend_developer,frontend_task,advanced,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,advanced,none
Saya bingung harus specialisasi di mana sebagai backend_developer.,backend_developer,frontend_task,advanced,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,advanced,none
Saya takut tidak cukup smart untuk UI/UX di backend_developer.,backend_developer,frontend_task,advanced,none
Saya ragu-ragu apakah bisa jadi backend_developer yang bagus.,backend_developer,frontend_task,advanced,none
"Saya baru mulai backend_developer, tidak tahu harus mulai dari mana.",backend_developer,frontend_task,advanced,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area backend_developer.",backend_developer,frontend_task,advanced,none
Saya mengalami kesulitan dengan HTML/CSS untuk backend_developer.,backend_developer,frontend_task,advanced,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk backend_developer.",backend_developer,frontend_task,advanced,none
Apa aja yang perlu saya pelajari untuk menjadi backend_developer yang bagus?,backend_developer,frontend_task,advanced,none
Saya sudah advanced tapi masih ada gap signifikan di responsive design.,backend_developer,frontend_task,advanced,none
Saya takut tidak cukup smart untuk UI/UX di backend_developer.,backend_developer,frontend_task,advanced,none
Saya takut tidak cukup smart untuk UI/UX di backend_developer.,backend_developer,frontend_task,advanced,none
Apa aja yang perlu saya pelajari untuk menjadi backend_developer yang bagus?,backend_developer,frontend_task,advanced,none
Saya sudah beginner tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk data_analyst.,data_analyst,frontend_task,beginner,none
Saya tidak mengerti JavaScript fundamentals untuk data_analyst.,data_analyst,frontend_task,beginner,none
Apa aja yang perlu saya pelajari untuk menjadi data_analyst yang bagus?,data_analyst,frontend_task,beginner,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk data_analyst.",data_analyst,frontend_task,beginner,none
"Saya kebingungan, mulai dari CSS atau JavaScript ya untuk data_analyst?",data_analyst,frontend_task,beginner,none
Saya sudah beginner tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,beginner,none
"Saya baru mulai data_analyst, tidak tahu harus mulai dari mana.",data_analyst,frontend_task,beginner,none
Saya takut tidak cukup smart untuk UI/UX di data_analyst.,data_analyst,frontend_task,beginner,none
Saya mengalami kesulitan dengan HTML/CSS untuk data_analyst.,data_analyst,frontend_task,beginner,none
Saya ragu-ragu apakah bisa jadi data_analyst yang bagus.,data_analyst,frontend_task,beginner,none
Bagaimana cara memulai karir sebagai data_analyst? Saya sangat bingung.,data_analyst,frontend_task,beginner,none
Saya sudah beginner tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,beginner,none
Saya sudah beginner tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,beginner,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,beginner,none
Bagaimana cara memulai karir sebagai data_analyst? Saya sangat bingung.,data_analyst,frontend_task,beginner,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,beginner,none
Saya takut tidak cukup smart untuk UI/UX di data_analyst.,data_analyst,frontend_task,beginner,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk data_analyst.",data_analyst,frontend_task,beginner,none
Saya sudah beginner tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,beginner,none
Saya sudah basic tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,basic,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi data_analyst.",data_analyst,frontend_task,basic,none
Saya sudah basic tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai data_analyst.,data_analyst,frontend_task,basic,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi data_analyst.",data_analyst,frontend_task,basic,none
Saya takut tidak cukup smart untuk UI/UX di data_analyst.,data_analyst,frontend_task,basic,none
Saya bingung harus specialisasi di mana sebagai data_analyst.,data_analyst,frontend_task,basic,none
Saya tidak mengerti JavaScript fundamentals untuk data_analyst.,data_analyst,frontend_task,basic,none
Saya ragu-ragu apakah bisa jadi data_analyst yang bagus.,data_analyst,frontend_task,basic,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi data_analyst.",data_analyst,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk data_analyst.,data_analyst,frontend_task,basic,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,basic,none
"Saya baru mulai data_analyst, tidak tahu harus mulai dari mana.",data_analyst,frontend_task,basic,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,basic,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk data_analyst.",data_analyst,frontend_task,basic,none
Bagaimana cara memulai karir sebagai data_analyst? Saya sangat bingung.,data_analyst,frontend_task,basic,none
Saya ragu-ragu apakah bisa jadi data_analyst yang bagus.,data_analyst,frontend_task,basic,none
Saya ragu-ragu apakah bisa jadi data_analyst yang bagus.,data_analyst,frontend_task,basic,none
Saya mengalami kesulitan dengan HTML/CSS untuk data_analyst.,data_analyst,frontend_task,basic,none
Saya sudah basic tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,basic,none
Saya ragu-ragu apakah bisa jadi data_analyst yang bagus.,data_analyst,frontend_task,intermediate,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,intermediate,none
Saya takut tidak cukup smart untuk UI/UX di data_analyst.,data_analyst,frontend_task,intermediate,none
Apa aja yang perlu saya pelajari untuk menjadi data_analyst yang bagus?,data_analyst,frontend_task,intermediate,none
"Saya baru mulai data_analyst, tidak tahu harus mulai dari mana.",data_analyst,frontend_task,intermediate,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,intermediate,none
Saya tidak mengerti JavaScript fundamentals untuk data_analyst.,data_analyst,frontend_task,intermediate,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk data_analyst.",data_analyst,frontend_task,intermediate,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,intermediate,none
Saya takut tidak cukup smart untuk UI/UX di data_analyst.,data_analyst,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,intermediate,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,intermediate,none
"Terlalu banyak tools CSS untuk data_analyst, saya pusing.",data_analyst,frontend_task,intermediate,none
Saya sudah intermediate tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,intermediate,none
"Saya baru mulai data_analyst, tidak tahu harus mulai dari mana.",data_analyst,frontend_task,intermediate,none
Saya bingung harus specialisasi di mana sebagai data_analyst.,data_analyst,frontend_task,intermediate,none
"Terlalu banyak tools CSS untuk data_analyst, saya pusing.",data_analyst,frontend_task,intermediate,none
"Terlalu banyak tools CSS untuk data_analyst, saya pusing.",data_analyst,frontend_task,intermediate,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi data_analyst.",data_analyst,frontend_task,intermediate,none
"Terlalu banyak tools CSS untuk data_analyst, saya pusing.",data_analyst,frontend_task,advanced,none
Apa aja yang perlu saya pelajari untuk menjadi data_analyst yang bagus?,data_analyst,frontend_task,advanced,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,advanced,none
Saya tidak mengerti JavaScript fundamentals untuk data_analyst.,data_analyst,frontend_task,advanced,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,advanced,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,advanced,none
"Saya tahu skill apa yang perlu, tapi gap di beberapa area data_analyst.",data_analyst,frontend_task,advanced,none
Saya tidak mengerti JavaScript fundamentals untuk data_analyst.,data_analyst,frontend_task,advanced,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk data_analyst.",data_analyst,frontend_task,advanced,none
Apa aja yang perlu saya pelajari untuk menjadi data_analyst yang bagus?,data_analyst,frontend_task,advanced,none
"Saya merasa hilang, tidak ada roadmap yang jelas untuk menjadi data_analyst.",data_analyst,frontend_task,advanced,none
"Terlalu banyak tools CSS untuk data_analyst, saya pusing.",data_analyst,frontend_task,advanced,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,advanced,none
"Ada banyak framework frontend, saya tidak tahu yang mana untuk data_analyst.",data_analyst,frontend_task,advanced,none
"Saya baru mulai data_analyst, tidak tahu harus mulai dari mana.",data_analyst,frontend_task,advanced,none
Saya sudah advanced tapi masih ada gap signifikan di responsive design.,data_analyst,frontend_task,advanced,none
Bagaimana cara memulai karir sebagai data_analyst? Saya sangat bingung.,data_analyst,frontend_task,advanced,none
"Saya baru mulai data_analyst, tidak tahu harus mulai dari mana.",data_analyst,frontend_task,advanced,none
Saya takut tidak cukup smart untuk UI/UX di data_analyst.,data_analyst,frontend_task,advanced,none
Saya stuck di awal belajar React sebagai data_analyst.,data_analyst,frontend_task,advanced,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang solid?,frontend_developer,backend_task,beginner,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang solid?,frontend_developer,backend_task,beginner,none
Saya merasa hilang dengan microservices sebagai frontend_developer.,frontend_developer,backend_task,beginner,none
Saya bingung apakah harus focus di DevOps atau coding sebagai frontend_developer.,frontend_developer,backend_task,beginner,none
"Saya baru mulai backend development sebagai frontend_developer, tidak tahu caranya.",frontend_developer,backend_task,beginner,none
Saya stuck dengan server-side concepts sebagai frontend_developer.,frontend_developer,backend_task,beginner,none
Saya mengalami kesulitan memahami database concepts untuk frontend_developer.,frontend_developer,backend_task,beginner,none
Saya takut tidak cukup smart untuk database design di frontend_developer.,frontend_developer,backend_task,beginner,none
"Ada banyak backend framework, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,backend_task,beginner,none
Saya bingung apakah harus focus di DevOps atau coding sebagai frontend_developer.,frontend_developer,backend_task,beginner,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang competent.,frontend_developer,backend_task,beginner,none
"Ada banyak backend framework, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,backend_task,beginner,none
Saya stuck dengan server-side concepts sebagai frontend_developer.,frontend_developer,backend_task,beginner,none
Saya bingung apakah harus focus di DevOps atau coding sebagai frontend_developer.,frontend_developer,backend_task,beginner,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang competent.,frontend_developer,backend_task,beginner,none
Saya tidak mengerti REST API fundamentals untuk frontend_developer.,frontend_developer,backend_task,beginner,none
"Ada banyak backend framework, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,backend_task,beginner,none
"Ada banyak backend framework, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,backend_task,beginner,none
Saya takut tidak cukup smart untuk database design di frontend_developer.,frontend_developer,backend_task,beginner,none
Apa aja yang perlu saya pelajari untuk menjadi frontend_developer yang solid?,frontend_developer,backend_task,beginner,none
Saya merasa hilang dengan microservices sebagai frontend_developer.,frontend_developer,backend_task,basic,none
Saya tidak mengerti REST API fundamentals untuk frontend_developer.,frontend_developer,backend_task,basic,none
"Terlalu banyak tools backend untuk frontend_developer, overwhelming.",frontend_developer,backend_task,basic,none
"Saya kebingungan, mulai dari SQL atau Python ya untuk frontend_developer?",frontend_developer,backend_task,basic,none
"Saya kebingungan, mulai dari SQL atau Python ya untuk frontend_developer?",frontend_developer,backend_task,basic,none
Saya ragu-ragu apakah bisa jadi frontend_developer yang competent.,frontend_developer,backend_task,basic,none
"Terlalu banyak tools backend untuk frontend_developer, overwhelming.",frontend_developer,backend_task,basic,none
"Ada banyak backend framework, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,backend_task,basic,none
Saya merasa hilang dengan microservices sebagai frontend_developer.,frontend_developer,backend_task,basic,none
Saya mengalami kesulitan memahami database concepts untuk frontend_developer.,frontend_developer,backend_task,basic,none
"Ada banyak backend framework, saya tidak tahu yang mana untuk frontend_developer.",frontend_developer,backend_task,basic,none
Saya tidak mengerti REST API fundamentals untuk frontend_developer.,frontend_developer,backend_task,basic,none
Bagaimana cara memulai backend sebagai frontend_developer? Saya sangat bingung.,frontend_developer,backend_task,basic,none
"Saya baru mulai backend development sebagai frontend_developer, tidak tahu caranya.",frontend_developer,backend_task,basic,none
"Saya kebingungan, mulai dari SQL atau Python ya untuk frontend_developer?",frontend_developer,backend_task,basic,none
"Saya kebingungan, mulai dari SQL atau Python ya untuk frontend_developer?",frontend_developer,backend_task,basic,none
Saya sudah basic tapi masih ada gap di performance tuning.,frontend_developer,backend_task,basic,none
Saya bingung apakah harus focus di DevOps atau coding sebagai frontend_developer.,frontend_developer,backend_task,basic,none
