role_id,role_name,domain_interest,required_skill_id,required_skill_name,skill_category,priority,minimum_level,step_order,prerequisite_skill_id
ai___data_optimization,AI & Data Optimization,ai_ml,python,Python,fundamental,high,basic,1,
ai___data_optimization,AI & Data Optimization,ai_ml,excel,Excel,fundamental,high,basic,2,python
ai___data_optimization,AI & Data Optimization,ai_ml,machine_learning,Machine Learning,core,high,intermediate,3,excel
ai___data_optimization,AI & Data Optimization,ai_ml,typescript,TypeScript,core,medium,intermediate,4,machine_learning
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,python,Python,fundamental,high,basic,1,
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,sql,SQL,fundamental,high,basic,2,python
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,typescript,TypeScript,core,high,intermediate,3,sql
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,4,typescript
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,azure,Azure,advanced,medium,advanced,5,machine_learning
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,etl,ETL,advanced,medium,advanced,6,azure
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,gcp,GCP,advanced,medium,advanced,7,etl
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,spark,Spark,advanced,medium,advanced,8,gcp
ai___databricks_engineer___databricks_experience_required,AI & Databricks Engineer – Databricks Experience Required,ai_ml,aws,AWS,advanced,medium,advanced,9,spark
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,javascript,JavaScript,fundamental,high,basic,1,
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,python,Python,fundamental,high,basic,2,javascript
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,excel,Excel,fundamental,high,basic,3,python
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,sql,SQL,fundamental,medium,basic,4,excel
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,typescript,TypeScript,core,medium,intermediate,5,sql
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,node_js,Node.js,core,medium,intermediate,6,typescript
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,postgresql,PostgreSQL,core,medium,intermediate,7,node_js
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,rest_api,REST API,core,medium,intermediate,8,postgresql
ai_agent_developer___ai_automation_engineer,AI Agent Developer / AI Automation Engineer,ai_ml,mysql,MySQL,core,medium,intermediate,9,rest_api
ai_automation___system_integration_specialist,AI Automation & System Integration Specialist,data_science,javascript,JavaScript,fundamental,high,basic,1,
ai_automation___system_integration_specialist,AI Automation & System Integration Specialist,data_science,python,Python,fundamental,high,basic,2,javascript
ai_automation___system_integration_specialist,AI Automation & System Integration Specialist,data_science,rest_api,REST API,core,high,intermediate,3,python
ai_automation___system_integration_specialist,AI Automation & System Integration Specialist,data_science,typescript,TypeScript,core,medium,intermediate,4,rest_api
ai_engineer,AI ENGINEER,ai_ml,python,Python,fundamental,high,basic,1,
ai_engineer,AI ENGINEER,ai_ml,problem_solving,Problem Solving,fundamental,high,basic,2,python
ai_engineer,AI ENGINEER,ai_ml,sql,SQL,fundamental,high,basic,3,problem_solving
ai_engineer,AI ENGINEER,ai_ml,scikit_learn,Scikit-Learn,core,medium,intermediate,4,sql
ai_engineer,AI ENGINEER,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,5,scikit_learn
ai_engineer,AI ENGINEER,ai_ml,gcp,GCP,advanced,medium,advanced,6,machine_learning
ai_engineer,AI ENGINEER,ai_ml,tensorflow,TensorFlow,advanced,medium,advanced,7,gcp
ai_engineer,AI ENGINEER,ai_ml,aws,AWS,advanced,medium,advanced,8,tensorflow
ai_engineer,AI ENGINEER,ai_ml,pytorch,PyTorch,advanced,medium,advanced,9,aws
ai_engineer,AI Engineer,ai_ml,javascript,JavaScript,fundamental,high,basic,1,
ai_engineer,AI Engineer,ai_ml,sql,SQL,fundamental,high,basic,2,javascript
ai_engineer,AI Engineer,ai_ml,java,Java,fundamental,high,basic,3,sql
ai_engineer,AI Engineer,ai_ml,python,Python,fundamental,medium,basic,4,java
ai_engineer,AI Engineer,ai_ml,php,PHP,fundamental,medium,basic,5,python
ai_engineer,AI Engineer,ai_ml,excel,Excel,fundamental,medium,basic,6,php
ai_engineer,AI Engineer,ai_ml,git,Git,fundamental,medium,basic,7,excel
ai_engineer,AI Engineer,ai_ml,typescript,TypeScript,core,medium,intermediate,8,git
ai_engineer,AI Engineer,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,9,typescript
ai_engineer,AI Engineer,ai_ml,svelte,Svelte,core,medium,intermediate,10,machine_learning
ai_engineer,AI Engineer,ai_ml,fastapi,FastAPI,core,medium,intermediate,11,svelte
ai_engineer,AI Engineer,ai_ml,golang,Golang,core,medium,intermediate,12,fastapi
ai_engineer,AI Engineer,ai_ml,node_js,Node.js,core,medium,intermediate,13,golang
ai_engineer,AI Engineer,ai_ml,vue_js,Vue.js,core,medium,intermediate,14,node_js
ai_engineer,AI Engineer,ai_ml,rest_api,REST API,core,medium,intermediate,15,vue_js
ai_engineer,AI Engineer,ai_ml,react_js,React.js,core,medium,intermediate,16,rest_api
ai_engineer,AI Engineer,ai_ml,next_js,Next.js,core,medium,intermediate,17,react_js
ai_engineer,AI Engineer,ai_ml,docker,Docker,advanced,medium,advanced,18,next_js
ai_engineer,AI Engineer,ai_ml,tensorflow,TensorFlow,advanced,medium,advanced,19,docker
ai_engineer,AI Engineer,ai_ml,aws,AWS,advanced,medium,advanced,20,tensorflow
ai_engineer,AI Engineer,ai_ml,azure,Azure,advanced,medium,advanced,21,aws
ai_engineer,AI Engineer,ai_ml,linux,Linux,advanced,medium,advanced,22,azure
ai_engineer,AI Engineer,ai_ml,kubernetes,Kubernetes,advanced,medium,advanced,23,linux
ai_engineer,AI Engineer,ai_ml,microservices,Microservices,advanced,medium,advanced,24,kubernetes
ai_engineer,AI Engineer,ai_ml,gcp,GCP,advanced,medium,advanced,25,microservices
ai_engineer,AI Engineer,ai_ml,deep_learning,Deep Learning,advanced,medium,advanced,26,gcp
ai_engineer,AI Engineer,ai_ml,pytorch,PyTorch,advanced,medium,advanced,27,deep_learning
ai_engineer,AI Engineer,ai_ml,ci_cd,CI/CD,advanced,medium,advanced,28,pytorch
ai_engineer,AI Engineer,data_science,javascript,JavaScript,fundamental,high,basic,1,
ai_engineer,AI Engineer,data_science,sql,SQL,fundamental,high,basic,2,javascript
ai_engineer,AI Engineer,data_science,java,Java,fundamental,high,basic,3,sql
ai_engineer,AI Engineer,data_science,python,Python,fundamental,medium,basic,4,java
ai_engineer,AI Engineer,data_science,excel,Excel,fundamental,medium,basic,5,python
ai_engineer,AI Engineer,data_science,git,Git,fundamental,medium,basic,6,excel
ai_engineer,AI Engineer,data_science,typescript,TypeScript,core,medium,intermediate,7,git
ai_engineer,AI Engineer,data_science,machine_learning,Machine Learning,core,medium,intermediate,8,typescript
ai_engineer,AI Engineer,data_science,svelte,Svelte,core,medium,intermediate,9,machine_learning
ai_engineer,AI Engineer,data_science,golang,Golang,core,medium,intermediate,10,svelte
ai_engineer,AI Engineer,data_science,mysql,MySQL,core,medium,intermediate,11,golang
ai_engineer,AI Engineer,data_science,graphql,GraphQL,core,medium,intermediate,12,mysql
ai_engineer,AI Engineer,data_science,node_js,Node.js,core,medium,intermediate,13,graphql
ai_engineer,AI Engineer,data_science,postgresql,PostgreSQL,core,medium,intermediate,14,node_js
ai_engineer,AI Engineer,data_science,vue_js,Vue.js,core,medium,intermediate,15,postgresql
ai_engineer,AI Engineer,data_science,rest_api,REST API,core,medium,intermediate,16,vue_js
ai_engineer,AI Engineer,data_science,react_js,React.js,core,medium,intermediate,17,rest_api
ai_engineer,AI Engineer,data_science,next_js,Next.js,core,medium,intermediate,18,react_js
ai_engineer,AI Engineer,data_science,docker,Docker,advanced,medium,advanced,19,next_js
ai_engineer,AI Engineer,data_science,tensorflow,TensorFlow,advanced,medium,advanced,20,docker
ai_engineer,AI Engineer,data_science,aws,AWS,advanced,medium,advanced,21,tensorflow
ai_engineer,AI Engineer,data_science,azure,Azure,advanced,medium,advanced,22,aws
ai_engineer,AI Engineer,data_science,linux,Linux,advanced,medium,advanced,23,azure
ai_engineer,AI Engineer,data_science,data_modeling,Data Modeling,advanced,medium,advanced,24,linux
ai_engineer,AI Engineer,data_science,kubernetes,Kubernetes,advanced,medium,advanced,25,data_modeling
ai_engineer,AI Engineer,data_science,microservices,Microservices,advanced,medium,advanced,26,kubernetes
ai_engineer,AI Engineer,data_science,gcp,GCP,advanced,medium,advanced,27,microservices
ai_engineer,AI Engineer,data_science,deep_learning,Deep Learning,advanced,medium,advanced,28,gcp
ai_engineer,AI Engineer,data_science,pytorch,PyTorch,advanced,medium,advanced,29,deep_learning
ai_engineer,AI Engineer,data_science,ci_cd,CI/CD,advanced,medium,advanced,30,pytorch
ai_engineer,AI Engineer,devops,javascript,JavaScript,fundamental,high,basic,1,
ai_engineer,AI Engineer,devops,sql,SQL,fundamental,high,basic,2,javascript
ai_engineer,AI Engineer,devops,git,Git,fundamental,high,basic,3,sql
ai_engineer,AI Engineer,devops,typescript,TypeScript,core,medium,intermediate,4,git
ai_engineer,AI Engineer,devops,vue_js,Vue.js,core,medium,intermediate,5,typescript
ai_engineer,AI Engineer,devops,graphql,GraphQL,core,medium,intermediate,6,vue_js
ai_engineer,AI Engineer,devops,postgresql,PostgreSQL,core,medium,intermediate,7,graphql
ai_engineer,AI Engineer,devops,rest_api,REST API,core,medium,intermediate,8,postgresql
ai_engineer,AI Engineer,devops,react_js,React.js,core,medium,intermediate,9,rest_api
ai_engineer,AI Engineer,devops,svelte,Svelte,core,medium,intermediate,10,react_js
ai_engineer,AI Engineer,devops,golang,Golang,core,medium,intermediate,11,svelte
ai_engineer,AI Engineer,devops,mysql,MySQL,core,medium,intermediate,12,golang
ai_engineer,AI Engineer,devops,next_js,Next.js,core,medium,intermediate,13,mysql
ai_engineer,AI Engineer,devops,docker,Docker,advanced,medium,advanced,14,next_js
ai_engineer,AI Engineer,devops,microservices,Microservices,advanced,medium,advanced,15,docker
ai_engineer,AI Engineer,devops,ci_cd,CI/CD,advanced,medium,advanced,16,microservices
ai_engineer,AI Engineer,devops,data_modeling,Data Modeling,advanced,medium,advanced,17,ci_cd
ai_engineer,AI Engineer,web_development,javascript,JavaScript,fundamental,high,basic,1,
ai_engineer,AI Engineer,web_development,sql,SQL,fundamental,high,basic,2,javascript
ai_engineer,AI Engineer,web_development,git,Git,fundamental,high,basic,3,sql
ai_engineer,AI Engineer,web_development,typescript,TypeScript,core,medium,intermediate,4,git
ai_engineer,AI Engineer,web_development,vue_js,Vue.js,core,medium,intermediate,5,typescript
ai_engineer,AI Engineer,web_development,graphql,GraphQL,core,medium,intermediate,6,vue_js
ai_engineer,AI Engineer,web_development,postgresql,PostgreSQL,core,medium,intermediate,7,graphql
ai_engineer,AI Engineer,web_development,rest_api,REST API,core,medium,intermediate,8,postgresql
ai_engineer,AI Engineer,web_development,react_js,React.js,core,medium,intermediate,9,rest_api
ai_engineer,AI Engineer,web_development,svelte,Svelte,core,medium,intermediate,10,react_js
ai_engineer,AI Engineer,web_development,golang,Golang,core,medium,intermediate,11,svelte
ai_engineer,AI Engineer,web_development,mysql,MySQL,core,medium,intermediate,12,golang
ai_engineer,AI Engineer,web_development,next_js,Next.js,core,medium,intermediate,13,mysql
ai_engineer,AI Engineer,web_development,docker,Docker,advanced,medium,advanced,14,next_js
ai_engineer,AI Engineer,web_development,microservices,Microservices,advanced,medium,advanced,15,docker
ai_engineer,AI Engineer,web_development,ci_cd,CI/CD,advanced,medium,advanced,16,microservices
ai_engineer,AI Engineer,web_development,data_modeling,Data Modeling,advanced,medium,advanced,17,ci_cd
ai_engineering,AI Engineering,ai_ml,python,Python,fundamental,high,basic,1,
ai_engineering,AI Engineering,ai_ml,scikit_learn,Scikit-Learn,core,high,intermediate,2,python
ai_engineering,AI Engineering,ai_ml,machine_learning,Machine Learning,core,high,intermediate,3,scikit_learn
ai_engineering,AI Engineering,ai_ml,tensorflow,TensorFlow,advanced,medium,advanced,4,machine_learning
ai_engineering,AI Engineering,ai_ml,pytorch,PyTorch,advanced,medium,advanced,5,tensorflow
ai_expert,AI Expert,ai_ml,python,Python,fundamental,high,basic,1,
ai_expert,AI Expert,ai_ml,sql,SQL,fundamental,high,basic,2,python
ai_expert,AI Expert,ai_ml,typescript,TypeScript,core,high,intermediate,3,sql
ai_expert,AI Expert,ai_ml,rest_api,REST API,core,medium,intermediate,4,typescript
ai_expert,AI Expert,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,5,rest_api
ai_expert,AI Expert,ai_ml,azure,Azure,advanced,medium,advanced,6,machine_learning
ai_expert,AI Expert,ai_ml,gcp,GCP,advanced,medium,advanced,7,azure
ai_expert,AI Expert,ai_ml,aws,AWS,advanced,medium,advanced,8,gcp
ai_expert,AI Expert,data_science,python,Python,fundamental,high,basic,1,
ai_expert,AI Expert,data_science,sql,SQL,fundamental,high,basic,2,python
ai_expert,AI Expert,data_science,typescript,TypeScript,core,high,intermediate,3,sql
ai_expert,AI Expert,data_science,rest_api,REST API,core,medium,intermediate,4,typescript
ai_expert,AI Expert,data_science,machine_learning,Machine Learning,core,medium,intermediate,5,rest_api
ai_expert,AI Expert,data_science,azure,Azure,advanced,medium,advanced,6,machine_learning
ai_expert,AI Expert,data_science,gcp,GCP,advanced,medium,advanced,7,azure
ai_expert,AI Expert,data_science,aws,AWS,advanced,medium,advanced,8,gcp
ai_ml_data_operation_manager,AI ML Data Operation Manager,ai_ml,machine_learning,Machine Learning,core,high,intermediate,1,
ai_ml_data_operation_manager,AI ML Data Operation Manager,ai_ml,typescript,TypeScript,core,high,intermediate,2,machine_learning
ai_ml_data_operation_manager,AI ML Data Operation Manager,ai_ml,next_js,Next.js,core,high,intermediate,3,typescript
ai_officer,AI Officer,ai_ml,machine_learning,Machine Learning,core,high,intermediate,1,
ai_officer,AI Officer,ai_ml,typescript,TypeScript,core,high,intermediate,2,machine_learning
ai_operator,AI Operator,ai_ml,javascript,JavaScript,fundamental,high,basic,1,
ai_operator,AI Operator,ai_ml,python,Python,fundamental,high,basic,2,javascript
ai_operator,AI Operator,ai_ml,git,Git,fundamental,high,basic,3,python
ai_operator,AI Operator,ai_ml,typescript,TypeScript,core,medium,intermediate,4,git
ai_operator,AI Operator,ai_ml,rest_api,REST API,core,medium,intermediate,5,typescript
ai_operator,AI Operator,ai_ml,docker,Docker,advanced,medium,advanced,6,rest_api
ai_r_d_department_head,AI R&D Department Head,ai_ml,machine_learning,Machine Learning,core,high,intermediate,1,
ai_r_d_department_head,AI R&D Department Head,ai_ml,typescript,TypeScript,core,high,intermediate,2,machine_learning
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,python,Python,fundamental,high,basic,1,
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,excel,Excel,fundamental,high,basic,2,python
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,sql,SQL,fundamental,high,basic,3,excel
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,typescript,TypeScript,core,medium,intermediate,4,sql
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,machine_learning,Machine Learning,core,medium,intermediate,5,typescript
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,azure,Azure,advanced,medium,advanced,6,machine_learning
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,gcp,GCP,advanced,medium,advanced,7,azure
ai_r_d_senior_engineer__team_leader_,AI R&D Senior Engineer (Team Leader),ai_ml,aws,AWS,advanced,medium,advanced,8,gcp
ai_solutions_architect,AI Solutions Architect,ai_ml,python,Python,fundamental,high,basic,1,
ai_solutions_architect,AI Solutions Architect,ai_ml,sql,SQL,fundamental,high,basic,2,python
ai_solutions_architect,AI Solutions Architect,ai_ml,r,R,fundamental,high,basic,3,sql
ai_solutions_architect,AI Solutions Architect,ai_ml,typescript,TypeScript,core,medium,intermediate,4,r
ai_solutions_architect,AI Solutions Architect,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,5,typescript
ai_solutions_architect,AI Solutions Architect,ai_ml,tensorflow,TensorFlow,advanced,medium,advanced,6,machine_learning
ai_solutions_architect,AI Solutions Architect,ai_ml,deep_learning,Deep Learning,advanced,medium,advanced,7,tensorflow
ai_solutions_architect,AI Solutions Architect,ai_ml,pytorch,PyTorch,advanced,medium,advanced,8,deep_learning
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,java,Java,fundamental,high,basic,1,
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,agile_scrum,Agile/Scrum,fundamental,high,basic,2,java
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,python,Python,fundamental,high,basic,3,agile_scrum
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,sql,SQL,fundamental,medium,basic,4,python
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,rest_api,REST API,core,medium,intermediate,5,sql
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,mysql,MySQL,core,medium,intermediate,6,rest_api
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),ai_ml,machine_learning,Machine Learning,core,medium,intermediate,7,mysql
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,java,Java,fundamental,high,basic,1,
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,agile_scrum,Agile/Scrum,fundamental,high,basic,2,java
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,python,Python,fundamental,high,basic,3,agile_scrum
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,sql,SQL,fundamental,medium,basic,4,python
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,rest_api,REST API,core,medium,intermediate,5,sql
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,mysql,MySQL,core,medium,intermediate,6,rest_api
ai_workflow_engineer__developer_,AI Workflow Engineer (Developer),data_science,machine_learning,Machine Learning,core,medium,intermediate,7,mysql
ai___augmented_fullstack_developer,AI – AUGMENTED FULLSTACK DEVELOPER,web_development,git,Git,fundamental,high,basic,1,
ai___augmented_fullstack_developer,AI – AUGMENTED FULLSTACK DEVELOPER,web_development,php,PHP,fundamental,high,basic,2,git
ai___augmented_fullstack_developer,AI – AUGMENTED FULLSTACK DEVELOPER,web_development,postgresql,PostgreSQL,core,high,intermediate,3,php
ai___augmented_fullstack_developer,AI – AUGMENTED FULLSTACK DEVELOPER,web_development,rest_api,REST API,core,medium,intermediate,4,postgresql
ai___augmented_fullstack_developer,AI – AUGMENTED FULLSTACK DEVELOPER,web_development,mysql,MySQL,core,medium,intermediate,5,rest_api
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,javascript,JavaScript,fundamental,high,basic,1,
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,sql,SQL,fundamental,high,basic,2,javascript
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,git,Git,fundamental,high,basic,3,sql
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,typescript,TypeScript,core,medium,intermediate,4,git
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,rest_api,REST API,core,medium,intermediate,5,typescript
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,react_js,React.js,core,medium,intermediate,6,rest_api
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,next_js,Next.js,core,medium,intermediate,7,react_js
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,docker,Docker,advanced,medium,advanced,8,next_js
ai_native_fullstack_developer,AI-Native Fullstack Developer,ui_ux,ci_cd,CI/CD,advanced,medium,advanced,9,docker
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,javascript,JavaScript,fundamental,high,basic,1,
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,sql,SQL,fundamental,high,basic,2,javascript
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,git,Git,fundamental,high,basic,3,sql
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,typescript,TypeScript,core,medium,intermediate,4,git
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,rest_api,REST API,core,medium,intermediate,5,typescript
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,react_js,React.js,core,medium,intermediate,6,rest_api
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,next_js,Next.js,core,medium,intermediate,7,react_js
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,docker,Docker,advanced,medium,advanced,8,next_js
ai_native_fullstack_developer,AI-Native Fullstack Developer,web_development,ci_cd,CI/CD,advanced,medium,advanced,9,docker
ai_ml_engineer,AI/ML Engineer,ai_ml,python,Python,fundamental,high,basic,1,
ai_ml_engineer,AI/ML Engineer,ai_ml,git,Git,fundamental,high,basic,2,python
ai_ml_engineer,AI/ML Engineer,ai_ml,typescript,TypeScript,core,high,intermediate,3,git
ai_ml_engineer,AI/ML Engineer,ai_ml,scikit_learn,Scikit-Learn,core,medium,intermediate,4,typescript
ai_ml_engineer,AI/ML Engineer,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,5,scikit_learn
ai_ml_engineer,AI/ML Engineer,ai_ml,docker,Docker,advanced,medium,advanced,6,machine_learning
ai_ml_engineer,AI/ML Engineer,ai_ml,tensorflow,TensorFlow,advanced,medium,advanced,7,docker
ai_ml_engineer,AI/ML Engineer,ai_ml,deep_learning,Deep Learning,advanced,medium,advanced,8,tensorflow
ai_ml_engineer,AI/ML Engineer,ai_ml,pytorch,PyTorch,advanced,medium,advanced,9,deep_learning
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,typescript,TypeScript,core,high,intermediate,1,
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,rest_api,REST API,core,high,intermediate,2,typescript
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,fastapi,FastAPI,core,high,intermediate,3,rest_api
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,machine_learning,Machine Learning,core,medium,intermediate,4,fastapi
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,next_js,Next.js,core,medium,intermediate,5,machine_learning
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,azure,Azure,advanced,medium,advanced,6,next_js
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,gcp,GCP,advanced,medium,advanced,7,azure
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,ai_ml,aws,AWS,advanced,medium,advanced,8,gcp
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,typescript,TypeScript,core,high,intermediate,1,
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,rest_api,REST API,core,high,intermediate,2,typescript
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,fastapi,FastAPI,core,high,intermediate,3,rest_api
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,machine_learning,Machine Learning,core,medium,intermediate,4,fastapi
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,next_js,Next.js,core,medium,intermediate,5,machine_learning
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,azure,Azure,advanced,medium,advanced,6,next_js
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,gcp,GCP,advanced,medium,advanced,7,azure
ai_ml_engineer___jakarta___wfo,AI/ML Engineer - Jakarta - WFO,data_science,aws,AWS,advanced,medium,advanced,8,gcp
aml_cft_manager,AML-CFT Manager,cyber_security,machine_learning,Machine Learning,core,high,intermediate,1,
aml_cft_manager,AML-CFT Manager,cyber_security,typescript,TypeScript,core,high,intermediate,2,machine_learning
