question_id,domain_interest,target_role,current_level,blocker_type,question,answer_type,options,purpose,priority
Q_CYBE_0022,cyber_security,soc_analyst,advanced,no_portfolio,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_portfolio pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_22,high
Q_UI_U_0023,ui_ux,ui_ux_designer,intermediate,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker skill_gap_confusion pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_23,high
Q_DATA_0024,data_science,data_analyst,intermediate,no_portfolio,Pertanyaan untuk data_analyst level intermediate mengenai blocker no_portfolio pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_24,high
Q_CYBE_0025,cyber_security,soc_analyst,basic,no_starting_point,Pertanyaan untuk soc_analyst level basic mengenai blocker no_starting_point pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_25,high
Q_CYBE_0026,cyber_security,soc_analyst,advanced,no_starting_point,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_starting_point pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_26,high
Q_CYBE_0027,cyber_security,soc_analyst,basic,skill_gap_confusion,Pertanyaan untuk soc_analyst level basic mengenai blocker skill_gap_confusion pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_27,high
Q_WEB__0028,web_development,frontend_developer,intermediate,no_starting_point,Pertanyaan untuk frontend_developer level intermediate mengenai blocker no_starting_point pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_28,high
Q_CYBE_0029,cyber_security,soc_analyst,advanced,skill_gap_confusion,Pertanyaan untuk soc_analyst level advanced mengenai blocker skill_gap_confusion pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_29,high
Q_DATA_0030,data_science,data_analyst,intermediate,skill_gap_confusion,Pertanyaan untuk data_analyst level intermediate mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_30,high
Q_UI_U_0031,ui_ux,ui_ux_designer,intermediate,no_portfolio,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker no_portfolio pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_31,high
Q_CYBE_0032,cyber_security,soc_analyst,advanced,no_portfolio,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_portfolio pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_32,high
Q_CYBE_0033,cyber_security,soc_analyst,advanced,no_portfolio,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_portfolio pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_33,high
Q_DATA_0034,data_science,data_analyst,beginner,skill_gap_confusion,Pertanyaan untuk data_analyst level beginner mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_34,high
Q_DATA_0035,data_science,data_analyst,advanced,no_starting_point,Pertanyaan untuk data_analyst level advanced mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_35,high
Q_AI_M_0036,ai_ml,machine_learning_engineer,intermediate,no_portfolio,Pertanyaan untuk machine_learning_engineer level intermediate mengenai blocker no_portfolio pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_36,high
Q_CYBE_0037,cyber_security,soc_analyst,beginner,no_foundation,Pertanyaan untuk soc_analyst level beginner mengenai blocker no_foundation pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_37,high
Q_WEB__0038,web_development,frontend_developer,beginner,no_starting_point,Pertanyaan untuk frontend_developer level beginner mengenai blocker no_starting_point pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_38,high
Q_DATA_0039,data_science,data_analyst,beginner,skill_gap_confusion,Pertanyaan untuk data_analyst level beginner mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_39,high
Q_WEB__0040,web_development,frontend_developer,beginner,no_foundation,Pertanyaan untuk frontend_developer level beginner mengenai blocker no_foundation pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_40,high
Q_UI_U_0041,ui_ux,ui_ux_designer,advanced,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker skill_gap_confusion pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_41,high
Q_AI_M_0042,ai_ml,machine_learning_engineer,beginner,no_starting_point,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_42,high
Q_UI_U_0043,ui_ux,ui_ux_designer,advanced,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker skill_gap_confusion pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_43,high
Q_UI_U_0044,ui_ux,ui_ux_designer,intermediate,no_portfolio,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker no_portfolio pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_44,high
Q_DATA_0045,data_science,data_analyst,advanced,no_starting_point,Pertanyaan untuk data_analyst level advanced mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_45,high
Q_CYBE_0046,cyber_security,soc_analyst,intermediate,no_starting_point,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_starting_point pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_46,high
Q_DATA_0047,data_science,data_analyst,beginner,no_foundation,Pertanyaan untuk data_analyst level beginner mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_47,high
Q_UI_U_0048,ui_ux,ui_ux_designer,intermediate,no_foundation,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker no_foundation pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_48,high
Q_UI_U_0049,ui_ux,ui_ux_designer,basic,no_foundation,Pertanyaan untuk ui_ux_designer level basic mengenai blocker no_foundation pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_49,high
Q_UI_U_0050,ui_ux,ui_ux_designer,basic,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level basic mengenai blocker skill_gap_confusion pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_50,high
Q_AI_M_0051,ai_ml,machine_learning_engineer,beginner,no_starting_point,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_51,high
Q_UI_U_0052,ui_ux,ui_ux_designer,beginner,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level beginner mengenai blocker skill_gap_confusion pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_52,high
Q_CYBE_0053,cyber_security,soc_analyst,intermediate,no_portfolio,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_portfolio pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_53,high
Q_AI_M_0054,ai_ml,machine_learning_engineer,basic,no_foundation,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker no_foundation pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_54,high
Q_CYBE_0055,cyber_security,soc_analyst,advanced,no_foundation,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_foundation pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_55,high
Q_DATA_0056,data_science,data_analyst,advanced,no_foundation,Pertanyaan untuk data_analyst level advanced mengenai blocker no_foundation pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_56,high
Q_UI_U_0057,ui_ux,ui_ux_designer,intermediate,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker skill_gap_confusion pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_57,high
Q_UI_U_0058,ui_ux,ui_ux_designer,advanced,no_foundation,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker no_foundation pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_58,high
Q_WEB__0059,web_development,frontend_developer,beginner,skill_gap_confusion,Pertanyaan untuk frontend_developer level beginner mengenai blocker skill_gap_confusion pada skill html_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_59,high
Q_AI_M_0060,ai_ml,machine_learning_engineer,beginner,no_foundation,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_60,high
Q_AI_M_0061,ai_ml,machine_learning_engineer,intermediate,no_foundation,Pertanyaan untuk machine_learning_engineer level intermediate mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_61,high
Q_DATA_0062,data_science,data_analyst,basic,no_starting_point,Pertanyaan untuk data_analyst level basic mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_62,high
Q_AI_M_0063,ai_ml,machine_learning_engineer,basic,no_foundation,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker no_foundation pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_63,high
Q_AI_M_0064,ai_ml,machine_learning_engineer,basic,no_starting_point,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker no_starting_point pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_64,high
Q_AI_M_0065,ai_ml,machine_learning_engineer,basic,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker skill_gap_confusion pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_65,high
Q_CYBE_0066,cyber_security,soc_analyst,intermediate,skill_gap_confusion,Pertanyaan untuk soc_analyst level intermediate mengenai blocker skill_gap_confusion pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_66,high
Q_UI_U_0067,ui_ux,ui_ux_designer,beginner,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level beginner mengenai blocker skill_gap_confusion pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_67,high
Q_AI_M_0068,ai_ml,machine_learning_engineer,basic,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker skill_gap_confusion pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_68,high
Q_WEB__0069,web_development,frontend_developer,advanced,skill_gap_confusion,Pertanyaan untuk frontend_developer level advanced mengenai blocker skill_gap_confusion pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_69,high
Q_WEB__0070,web_development,frontend_developer,advanced,skill_gap_confusion,Pertanyaan untuk frontend_developer level advanced mengenai blocker skill_gap_confusion pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_70,high
Q_CYBE_0071,cyber_security,soc_analyst,intermediate,no_starting_point,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_starting_point pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_71,high
Q_CYBE_0072,cyber_security,soc_analyst,basic,skill_gap_confusion,Pertanyaan untuk soc_analyst level basic mengenai blocker skill_gap_confusion pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_72,high
Q_AI_M_0073,ai_ml,machine_learning_engineer,advanced,no_starting_point,Pertanyaan untuk machine_learning_engineer level advanced mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_73,high
Q_DATA_0074,data_science,data_analyst,intermediate,no_portfolio,Pertanyaan untuk data_analyst level intermediate mengenai blocker no_portfolio pada skill spreadsheet_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_74,high
Q_AI_M_0075,ai_ml,machine_learning_engineer,intermediate,no_portfolio,Pertanyaan untuk machine_learning_engineer level intermediate mengenai blocker no_portfolio pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_75,high
Q_DATA_0076,data_science,data_analyst,advanced,skill_gap_confusion,Pertanyaan untuk data_analyst level advanced mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_76,high
Q_AI_M_0077,ai_ml,machine_learning_engineer,basic,no_foundation,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker no_foundation pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_77,high
Q_WEB__0078,web_development,frontend_developer,intermediate,no_starting_point,Pertanyaan untuk frontend_developer level intermediate mengenai blocker no_starting_point pada skill html_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_78,high
Q_CYBE_0079,cyber_security,soc_analyst,intermediate,no_starting_point,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_starting_point pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_79,high
Q_CYBE_0080,cyber_security,soc_analyst,intermediate,no_foundation,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_foundation pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_80,high
Q_AI_M_0081,ai_ml,machine_learning_engineer,beginner,no_starting_point,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_starting_point pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_81,high
Q_AI_M_0082,ai_ml,machine_learning_engineer,beginner,no_starting_point,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_starting_point pada skill mlops?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_82,high
Q_AI_M_0083,ai_ml,machine_learning_engineer,basic,no_foundation,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_83,high
Q_AI_M_0084,ai_ml,machine_learning_engineer,beginner,no_portfolio,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker no_portfolio pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_84,high
Q_DATA_0085,data_science,data_analyst,beginner,no_foundation,Pertanyaan untuk data_analyst level beginner mengenai blocker no_foundation pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_85,high
Q_CYBE_0086,cyber_security,soc_analyst,advanced,no_starting_point,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_starting_point pada skill networking_fundamental?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_86,high
Q_UI_U_0087,ui_ux,ui_ux_designer,advanced,no_foundation,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker no_foundation pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_87,high
Q_CYBE_0088,cyber_security,soc_analyst,intermediate,no_portfolio,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_portfolio pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_88,high
Q_WEB__0089,web_development,frontend_developer,basic,skill_gap_confusion,Pertanyaan untuk frontend_developer level basic mengenai blocker skill_gap_confusion pada skill javascript_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_89,high
Q_CYBE_0090,cyber_security,soc_analyst,basic,no_portfolio,Pertanyaan untuk soc_analyst level basic mengenai blocker no_portfolio pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_90,high
Q_UI_U_0091,ui_ux,ui_ux_designer,advanced,no_starting_point,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker no_starting_point pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_91,high
Q_UI_U_0092,ui_ux,ui_ux_designer,advanced,no_foundation,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker no_foundation pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_92,high
Q_DATA_0093,data_science,data_analyst,intermediate,no_foundation,Pertanyaan untuk data_analyst level intermediate mengenai blocker no_foundation pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_93,high
Q_UI_U_0094,ui_ux,ui_ux_designer,intermediate,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker skill_gap_confusion pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_94,high
Q_AI_M_0095,ai_ml,machine_learning_engineer,beginner,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level beginner mengenai blocker skill_gap_confusion pada skill model_training?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_95,high
Q_CYBE_0096,cyber_security,soc_analyst,beginner,no_portfolio,Pertanyaan untuk soc_analyst level beginner mengenai blocker no_portfolio pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_96,high
Q_WEB__0097,web_development,frontend_developer,intermediate,skill_gap_confusion,Pertanyaan untuk frontend_developer level intermediate mengenai blocker skill_gap_confusion pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_97,high
Q_CYBE_0098,cyber_security,soc_analyst,intermediate,skill_gap_confusion,Pertanyaan untuk soc_analyst level intermediate mengenai blocker skill_gap_confusion pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_98,high
Q_WEB__0099,web_development,frontend_developer,advanced,no_portfolio,Pertanyaan untuk frontend_developer level advanced mengenai blocker no_portfolio pada skill javascript_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_99,high
Q_UI_U_0100,ui_ux,ui_ux_designer,beginner,no_foundation,Pertanyaan untuk ui_ux_designer level beginner mengenai blocker no_foundation pada skill wireframing?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_100,high
Q_CYBE_0101,cyber_security,soc_analyst,intermediate,no_portfolio,Pertanyaan untuk soc_analyst level intermediate mengenai blocker no_portfolio pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_101,high
Q_DATA_0102,data_science,data_analyst,basic,no_foundation,Pertanyaan untuk data_analyst level basic mengenai blocker no_foundation pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_102,high
Q_CYBE_0103,cyber_security,soc_analyst,beginner,no_starting_point,Pertanyaan untuk soc_analyst level beginner mengenai blocker no_starting_point pada skill log_analysis?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_103,high
Q_WEB__0104,web_development,frontend_developer,advanced,skill_gap_confusion,Pertanyaan untuk frontend_developer level advanced mengenai blocker skill_gap_confusion pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_104,high
Q_UI_U_0105,ui_ux,ui_ux_designer,intermediate,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker skill_gap_confusion pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_105,high
Q_UI_U_0106,ui_ux,ui_ux_designer,intermediate,no_portfolio,Pertanyaan untuk ui_ux_designer level intermediate mengenai blocker no_portfolio pada skill figma?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_106,high
Q_CYBE_0107,cyber_security,soc_analyst,advanced,no_portfolio,Pertanyaan untuk soc_analyst level advanced mengenai blocker no_portfolio pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_107,high
Q_DATA_0108,data_science,data_analyst,intermediate,no_portfolio,Pertanyaan untuk data_analyst level intermediate mengenai blocker no_portfolio pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_108,high
Q_CYBE_0109,cyber_security,soc_analyst,advanced,skill_gap_confusion,Pertanyaan untuk soc_analyst level advanced mengenai blocker skill_gap_confusion pada skill linux_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_cyber_security_109,high
Q_AI_M_0110,ai_ml,machine_learning_engineer,advanced,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level advanced mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_110,high
Q_DATA_0111,data_science,data_analyst,basic,no_starting_point,Pertanyaan untuk data_analyst level basic mengenai blocker no_starting_point pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_111,high
Q_AI_M_0112,ai_ml,machine_learning_engineer,basic,skill_gap_confusion,Pertanyaan untuk machine_learning_engineer level basic mengenai blocker skill_gap_confusion pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_112,high
Q_AI_M_0113,ai_ml,machine_learning_engineer,intermediate,no_starting_point,Pertanyaan untuk machine_learning_engineer level intermediate mengenai blocker no_starting_point pada skill python_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ai_ml_113,high
Q_DATA_0114,data_science,data_analyst,intermediate,skill_gap_confusion,Pertanyaan untuk data_analyst level intermediate mengenai blocker skill_gap_confusion pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_114,high
Q_WEB__0115,web_development,frontend_developer,beginner,no_starting_point,Pertanyaan untuk frontend_developer level beginner mengenai blocker no_starting_point pada skill css_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_115,high
Q_UI_U_0116,ui_ux,ui_ux_designer,advanced,skill_gap_confusion,Pertanyaan untuk ui_ux_designer level advanced mengenai blocker skill_gap_confusion pada skill ui_principles?,single_choice,belum_paham|paham_dasar|cukup_paham,val_ui_ux_116,high
Q_DATA_0117,data_science,data_analyst,advanced,skill_gap_confusion,Pertanyaan untuk data_analyst level advanced mengenai blocker skill_gap_confusion pada skill sql_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_data_science_117,high
Q_WEB__0118,web_development,frontend_developer,intermediate,no_foundation,Pertanyaan untuk frontend_developer level intermediate mengenai blocker no_foundation pada skill html_basic?,single_choice,belum_paham|paham_dasar|cukup_paham,val_web_development_118,high
